Time(s),Ip,I(CSU3),I(CSU2),I(CS1),I(CSL2),...Ipf6,Ipf12,Ipf13,Ipf14,Ipf15

  3.5000e+000  1.751064e+000  1.978238e+001  1.864150e+001  1.714940e+001  1.939791e+001  1.697300e+001  4.404786e+000  9.357138e-001  -2.970295e-001  5.858021e-002  -1.552557e-001  6.106378e+000  4.724766e-017  4.656447e-003  6.955077e-003  5.029172e-003

  7.5000e+000    2.5000   18.5700   18.1882   13.4461   18.9666   15.1173    5.1834    0.8522   -0.8500   -0.1855   -1.0000    8.0000    0.0000    0.0000    0.0000    0.0000
  1.2000e+001    3.5000   17.0270   17.8172    9.2975   15.8399   15.3296    4.1982    0.6020   -1.1000   -0.5805   -2.2254   10.3234    0.0000    0.0000    0.0000    0.0000
  1.8000e+001    5.4000   14.9700   15.4193    3.0752   14.7189   15.1403    3.7528   -0.3912   -1.1000   -1.9752   -1.7103    9.4104    0.0000    0.0000    0.0000    0.0000

  5.0000e+001   15.0000    4.0000  -10.8000  -21.6400   -7.7080    5.5000    5.0210   -3.1300   -5.0270   -4.2720   -7.8310   17.3340    0.0000    0.0000    0.0000    0.0000

  5.8000e+002   15.0000    1.1808  -12.585   -24.292   -12.045     2.6705    4.0148   -3.0267   -5.5744   -4.7935   -7.7114   15.76      0.0000    0.0000    0.0000    0.0000
  6.9000e+002   15.0000    1.0024  -12.885   -24.456   -12.3       2.5892    3.8884   -3.0155   -5.5539   -4.8345   -7.6771   15.622     0.0000    0.0000    0.0000    0.0000

  6.6000e+003   15.0000    2.4574  -11.8850  -21.6460  -10.0770    2.5264    4.5547   -3.0821   -5.2758   -4.3947   -8.1489   17.5550    0.0000    0.0000    0.0000    0.0000




